transaction_date,trade_date,ticker,company_name,owner_name,Title,transaction_type,last_price,Qty,shares_held,Owned,Value,stock_value,30_days_later
2022-01-12 16:53:26,2022-01-11,ADSK,"Autodesk, Inc.",Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,260.47,-197,"3,755",-5%,"-$51,313",270.6300048828125,251.33999633789062
2022-01-11 19:26:43,2022-01-07,IBKR,"Interactive Brokers Group, Inc.",Frank Thomas Aj,CIO,S - Sale,76.51,"-32,897","394,861",-8%,"-$2,516,911",76.67927551269531,72.44965362548828
2022-01-03 10:01:05,2021-12-30,LLY,Eli Lilly & Co,Lilly Endowment Inc,10%,S - Sale,279.55,"-3,614","107,463,810",0%,"-$1,010,276",272.6297607421875,241.01551818847656
2022-01-10 16:09:20,2022-01-07,HSY,Hershey Co,Reiman Jason,SVP Chief Supply Chain Officer,S - Sale,196.45,-150,"12,740",-1%,"-$29,468",191.52430725097656,198.30123901367188
2022-01-31 16:15:08,2022-01-28,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,59.09,"+16,920","36,739,336",0%,"+$999,859",57.652042388916016,60.33626937866211
2022-01-14 14:17:57,2022-01-13,LRCX,Lam Research Corp,Varadarajan Seshasayee,SVP,S - Sale,712.5,"-10,000","18,421",-35%,"-$7,125,000",674.6718139648438,550.1251831054688
2022-01-03 08:18:59,2021-12-29,AIRC,Apartment Income Reit Corp.,Considine Terry,CEO,S - Sale,54.66,"-89,725","14,576",-86%,"-$4,904,542",52.032875061035156,48.55073165893555
2022-01-07 17:06:13,2022-01-06,LW,"Lamb Weston Holdings, Inc.",Miller Sharon L.,SVP,S - Sale,70.0,"-12,424","49,455",-20%,"-$869,680",66.72967529296875,61.977378845214844
2022-01-05 20:46:20,2022-01-03,UPST,"Upstart Holdings, Inc.",Girouard Dave,"CEO, 10%",S - Sale,148.66,"-91,665","10,540,056",-1%,"-$13,626,559",144.66000366210938,117.33000183105469
2022-01-28 17:01:07,2022-01-28,BECN,Beacon Roofing Supply Inc,"Cd&R Investment Associates Ix, Ltd.",10%,P - Purchase,55.84,"+107,456","14,653,429",+1%,"+$5,999,999",53.5,58.27000045776367
2022-01-06 16:51:14,2022-01-04,MRTX,"Mirati Therapeutics, Inc.",Christensen Jamie,"EVP, Chief Scientific Officer",S - Sale,147.72,"-1,442","77,300",-2%,"-$213,017",141.7899932861328,118.08999633789062
2022-01-07 18:37:27,2022-01-05,TSLA,"Tesla, Inc.",Taneja Vaibhav,Chief Accounting Officer,S - Sale,1160.85,"-1,100","22,905",-5%,"-$1,276,940",362.7066650390625,297.0466613769531
2022-01-05 18:07:21,2022-01-03,ETSY,Etsy Inc,Fisher Michael T,CTO,S - Sale,213.92,"-4,389","4,358",-50%,"-$938,878",209.92999267578125,152.16000366210938
2022-01-27 18:52:27,2022-01-25,FB,"Meta Platforms, Inc.",Newstead Jennifer,GC,S - Sale,299.77,-125,"12,236",-1%,"-$37,471",300.1499938964844,198.4499969482422
2022-01-26 15:56:46,2022-01-25,CBSH,Commerce Bancshares Inc /mo/,Kemper David W,Dir,S - Sale,68.46,"-9,500","1,587,821",-1%,"-$650,407",67.75485229492188,68.46113586425781
2022-01-11 16:47:19,2022-01-11,MAA,Mid America Apartment Communities Inc.,Carpenter Melanie,"EVP, CHRO",S - Sale,214.49,-235,"17,759",-1%,"-$50,405",206.20864868164062,210.12132263183594
2022-01-10 17:08:58,2022-01-06,TWLO,Twilio Inc,Shipchandler Khozema,COO,S - Sale,232.71,"-1,236","66,521",-2%,"-$287,630",238.64999389648438,192.0
2022-01-05 16:51:35,2022-01-03,PEGA,Pegasystems Inc,Stillwell Kenneth,"COO, CFO",S - Sale,111.73,"-1,000","7,873",-11%,"-$111,730",109.94596862792969,101.14031982421875
2022-01-28 21:50:32,2022-01-27,TER,"Teradyne, Inc",Smith Gregory Stephen,"Pres, Ind. Automation Grp",S - Sale,110.51,"-14,155","24,231",-37%,"-$1,564,269",110.6370620727539,119.49972534179688
2022-01-05 16:40:00,2022-01-03,SSD,"Simpson Manufacturing Co., Inc.",Dankel Roger,"Pres, Simpson Strong-Tie",S - Sale,138.91,-600,"28,109",-2%,"-$83,346",132.30458068847656,112.15045928955078
2022-01-04 21:30:07,2022-01-03,ARWR,"Arrowhead Pharmaceuticals, Inc.",Perry Michael S,Dir,S - Sale,64.71,"-4,500","85,500",-5%,"-$291,192",69.97000122070312,55.099998474121094
2022-01-28 16:14:41,2022-01-27,SPSC,Sps Commerce Inc,Black Archie C.,CEO,S - Sale,115.2,"-22,004","67,403",-25%,"-$2,534,779",113.81999969482422,128.6300048828125
2022-01-06 20:28:48,2022-01-04,DIS,Walt Disney Co,Woodford Brent,"EVP, Control, Fin Plan, Tax",S - Sale,158.89,"-2,868","27,162",-10%,"-$455,697",155.72999572753906,142.6199951171875
2022-01-31 11:41:30,2022-01-28,LKFN,Lakeland Financial Corp,Kubacki Michael L,Dir,S - Sale,78.56,"-36,597","147,120",-20%,"-$2,874,962",77.60086059570312,78.63736724853516
2022-01-10 17:08:26,2022-01-10,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,69.77,"+7,164","36,630,429",0%,"+$499,832",68.50650787353516,59.05293273925781
2022-01-20 11:41:37,2022-01-19,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1059.46,+20,"377,001",0%,"+$21,189",1037.7581787109375,984.1982421875
2022-01-05 19:29:08,2022-01-03,ANET,"Arista Networks, Inc.",Giancarlo Charles H,Dir,S - Sale,142.48,"-6,660","194,342",-3%,"-$948,908",142.24000549316406,124.30000305175781
2022-01-12 18:30:15,2022-01-10,SWKS,"Skyworks Solutions, Inc.",Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,152.35,"-1,500","8,675",-15%,"-$228,525",149.8867950439453,136.41461181640625
2022-01-28 15:57:12,2022-01-27,FCNCA,First Citizens Bancshares Inc /de/,Hoppe Robert R,Dir,P - Purchase,785.43,+20,300,+7%,"+$15,709",767.094482421875,779.471435546875
2022-01-07 16:25:35,2022-01-05,SSTK,"Shutterstock, Inc.",Oringer Jonathan,"Exec COB, 10%",S - Sale,103.15,"-26,288","12,288,504",0%,"-$2,711,559",100.0067367553711,88.03065490722656
2022-01-28 18:16:29,2022-01-26,ZI,Zoominfo Technologies Inc.,Brown Kirk Norman,10%,S - Sale,50.03,"-42,003","16,436,656",0%,"-$2,101,351",46.68000030517578,54.58000183105469
2022-01-25 16:34:40,2022-01-21,HCI,"Hci Group, Inc.",Graham Andrew L.,"GC, Corporate Secretary",S - Sale,68.89,-784,"109,988",-1%,"-$54,013",64.9874038696289,60.334041595458984
2022-01-31 17:06:21,2022-01-27,XPEL,"Xpel, Inc.",Crumly Richard K.,Dir,S - Sale,58.17,"-37,000","2,608,199",-1%,"-$2,152,330",56.70000076293945,70.43000030517578
2022-01-19 16:03:45,2022-01-18,SPT,"Sprout Social, Inc.",Del Preto Joseph,"CFO, Treasurer",S - Sale,65.24,-900,"106,016",-1%,"-$58,716",66.25,68.01000213623047
2022-01-06 16:57:13,2022-01-04,CPE,Callon Petroleum Co,Bpp Energy Partners LLC,10%,S - Sale,55.37,"-193,605","2,223,593",-8%,"-$10,719,909",55.61000061035156,53.4900016784668
2022-01-25 16:17:56,2022-01-24,GOLF,Acushnet Holdings Corp.,Fila Holdings Corp.,"Dir, 10%",S - Sale,53.59,"-699,819","37,104,008",-2%,"-$37,500,851",47.51319122314453,41.22121810913086
2022-01-21 14:44:31,2022-01-20,GOOG,Alphabet Inc.,Page Lawrence,"Dir, 10%",S - Sale,2747.26,"-8,006","19,638,614",0%,"-$21,994,588",133.50650024414062,130.46749877929688
2022-01-05 16:33:54,2022-01-04,SPT,"Sprout Social, Inc.",Del Preto Joseph,"CFO, Treasurer",S - Sale,76.85,-560,"106,916",-1%,"-$43,036",80.44999694824219,67.0199966430664
2022-01-05 17:39:22,2022-01-03,SQ,"Block, Inc.",Grassadonia Brian,Cash App Lead,S - Sale,162.29,"-3,909","76,510",-5%,"-$634,392",164.02999877929688,127.61000061035156
